Date,Camp,SPX
2018-10-29,7050.29,2682.63
2018-10-30,7161.65,2711.74
2018-10-31,7305.9,2740.37
2018-11-01,7434.06,2723.06
2018-11-02,7356.99,2738.31
2018-11-05,7328.85,2755.45
2018-11-06,7375.96,2813.89
2018-11-07,7570.75,2806.83
2018-11-08,7530.88,2781.01
2018-11-09,7406.9,2726.22
2018-11-12,7200.87,2722.18
2018-11-13,7200.87,2701.58
2018-11-14,7136.39,2730.2
2018-11-15,7259.03,2736.27
2018-11-16,7247.87,2690.73
2018-11-19,7028.48,2641.89
2018-11-20,6908.82,2649.93
2018-11-21,6972.25,2632.56
2018-11-23,6938.98,2673.45
2018-11-26,7081.85,2682.17
2018-11-27,7082.7,2743.79
2018-11-28,7291.59,2737.76
2018-11-29,7273.08,2760.17
2018-11-30,7330.54,2790.37
2018-12-03,7441.51,2700.06
2018-12-04,7158.43,2695.95
2018-12-06,7188.26,2633.08
2018-12-07,6969.25,2637.72
2018-12-10,7020.52,2636.78
2018-12-11,7031.83,2651.07
2018-12-12,7098.31,2650.54
2018-12-13,7070.33,2599.95
2018-12-14,6910.66,2545.94
2018-12-17,6753.73,2546.16
2018-12-18,6783.91,2506.96
2018-12-19,6636.83,2467.42
2018-12-20,6528.41,2416.62
2018-12-21,6332.99,2351.1
2018-12-24,6192.92,2467.7
2018-12-26,6554.36,2488.83
2018-12-27,6579.49,2485.74
2018-12-28,6584.52,2506.85
2018-12-31,6635.28,2510.03
2019-01-02,6665.94,2447.89
2019-01-03,6463.5,2531.94
2019-01-04,6738.86,2549.69
2019-01-07,6823.47,2574.41
2019-01-08,6897,2584.96
2019-01-09,6957.08,2596.64
2019-01-10,6986.07,2596.26
2019-01-11,6971.48,2582.61
2019-01-14,6905.92,2610.3
2019-01-15,7023.83,2616.1
2019-01-16,7034.69,2635.96
2019-01-17,7084.46,2670.71
2019-01-18,7157.23,2632.9
2019-01-22,7020.36,2638.7
2019-01-23,7025.77,2642.33
2019-01-24,7073.46,2664.76
2019-01-25,7164.86,2643.85
2019-01-28,7085.68,2640
2019-01-29,7028.29,2681.05
2019-01-30,7183.08,2704.1
2019-01-31,7281.74,2706.53
2019-02-01,7263.87,2724.87
2019-02-04,7347.54,2737.7
2019-02-05,7402.08,2731.61
2019-02-06,7375.28,2706.05
2019-02-07,7288.35,2707.88
2019-02-08,7298.2,2709.8
2019-02-11,7307.9,2744.73
2019-02-12,7414.62,2753.03
2019-02-13,7420.38,2745.73
2019-02-14,7426.95,2775.6
2019-02-15,7472.41,2779.76
2019-02-19,7486.77,2784.7
2019-02-20,7489.07,2774.88
2019-02-21,7459.71,2792.67
2019-02-22,7527.54,2796.11
2019-02-25,7554.46,2793.9
2019-02-26,7549.3,2792.38
2019-02-27,7554.51,2784.49
2019-02-28,7532.53,2803.69
2019-03-01,7595.35,2792.81
